IL ID,R^2 Accuracy
729,1.0
764,1.0
765,1.0
766,1.0
814,1.0
647,1.0
612,1.0
616,1.0
879,1.0
880,1.0
881,1.0
888,1.0
889,1.0
894,1.0
895,1.0
897,1.0
931,1.0
71,1.0
978,1.0
1079,1.0
1086,1.0
1116,1.0
1129,1.0
1127,1.0
1182,1.0
1156,1.0
1225,1.0
1227,1.0
500,1.0
501,1.0
1218,1.0
1219,1.0
1221,1.0
1222,1.0
1231,1.0
1232,1.0
1228,1.0
1230,1.0
1233,1.0
1882,1.0
1884,1.0
1883,1.0
1843,1.0
1844,1.0
1885,1.0
1886,1.0
1887,1.0
1898,1.0
1234,1.0
1236,1.0
1237,1.0
1238,1.0
449,1.0
1261,1.0
1262,1.0
1263,1.0
1264,1.0
1265,1.0
1267,1.0
1268,1.0
1881,1.0
1299,1.0
1376,1.0
378,1.0
382,1.0
389,1.0
392,1.0
1396,1.0
1397,1.0
1798,1.0
1800,1.0
160,1.0
161,1.0
1842,1.0
1584,1.0
300,1.0
1845,1.0
1398,1.0
1399,1.0
1400,1.0
1433,1.0
1446,1.0
1719,1.0
1720,1.0
1746,1.0
1790,1.0
1488,1.0
1502,1.0
301,1.0
302,1.0
243,1.0
20,1.0
1629,1.0
1656,1.0
258,1.0
263,1.0
1707,1.0
241,1.0
690,1.0
691,1.0
1961,1.0
681,1.0
708,1.0
1970,1.0
980,0.9954374286151819
1112,0.9923554362162877
1866,0.9918069345712139
1736,0.9915604434356278
1737,0.9915243752714074
1864,0.9905146804278089
1042,0.9897180027486412
1863,0.9886641667873031
1952,0.9880127095270675
1499,0.9877810732055744
999,0.9875796045785634
143,0.9873213642422919
139,0.9870694532145396
1039,0.9869278087715885
1735,0.9863977877298458
1006,0.9863099271592088
1040,0.9860250816555162
1948,0.9859757806545554
1950,0.9856509320296492
1041,0.9854563390601264
1037,0.9850724042712983
1038,0.9845665033260618
919,0.9845252039804072
1005,0.9840404790015176
1691,0.9840393662021835
1680,0.982847918579197
1892,0.9823195979050351
560,0.9821726277445639
260,0.9821366895786504
1953,0.9820213636864493
72,0.9815685496048495
1074,0.9806317952408811
1092,0.9803899886308258
25,0.9798817092179519
110,0.9795347392992635
1517,0.9791378220253737
1585,0.9781836577122197
26,0.9775853544257934
851,0.9768207193462369
1532,0.9763688788769818
475,0.9750313836715045
69,0.9746876906126251
1058,0.9745537556762676
70,0.9744032652302609
1207,0.9734110872839397
1208,0.9732129548742133
28,0.9730030671280274
1900,0.9722656263554074
33,0.971958596978306
793,0.971792232646533
35,0.9716258621820967
1591,0.9714512154527332
1949,0.9704877589811043
1582,0.9691185010430292
599,0.9685686051062837
1447,0.9685451391522688
37,0.9684430468749994
34,0.9684028253533815
1645,0.9676567898097218
1566,0.9675682154018362
591,0.967180405128531
23,0.9666395479364387
24,0.9665742932281393
47,0.9665468805169121
21,0.9661249114229021
46,0.9660410703913536
40,0.9657036328981004
1545,0.9651962421332472
683,0.9651942527159486
1899,0.9648273981634312
775,0.9643840604914932
1515,0.964342152629439
32,0.9640617146830881
1924,0.9640176531692277
44,0.9627163687565299
1807,0.9626222834185718
1377,0.9622630056669371
1052,0.9619359699867224
50,0.9618817003700149
402,0.9617183282185877
383,0.961615804136485
1672,0.9615063138651121
39,0.961346833636827
259,0.961207364498033
1620,0.9599400699467171
1637,0.9599101341114732
45,0.9594999567333693
833,0.9592159190331718
822,0.958247324613556
1609,0.9575769675433458
38,0.9575509299307953
281,0.9574613302842281
141,0.9572523831090163
727,0.9560903425875638
31,0.9558047627114762
49,0.9553164603531853
52,0.9553047375895016
463,0.9551343016728941
1518,0.9545823778669501
1806,0.9545252769409733
366,0.9544923453432114
1612,0.953785925764376
1027,0.953785925764376
1445,0.9532233962499925
1547,0.9531277308410296
1324,0.9530405330936418
36,0.9530187841307317
1819,0.9529366929123242
485,0.9527379534443867
842,0.9519648839590541
362,0.9519066682586022
1473,0.9518214549014563
1139,0.9517668477761252
1583,0.9514896162113415
604,0.9514388382935525
368,0.9506442651040964
364,0.9503829241435419
603,0.9489780989076664
19,0.94853256837104
386,0.948243215068312
339,0.9479850060945905
352,0.9471463347869914
406,0.9460769210132975
823,0.9459784529616098
57,0.9459715964845293
514,0.9458549696402719
1080,0.9451710141953237
1615,0.9447853943303633
27,0.9441324349027517
539,0.9438336130385436
843,0.942796275108831
404,0.9420976216900232
1954,0.9420692163812048
1753,0.9412586885094697
734,0.9402451064830217
1210,0.9398988120407153
519,0.9396918132336665
51,0.9388982889932134
43,0.938777960867158
1302,0.9377061708732751
1420,0.937585843030473
265,0.9371749984150457
1471,0.9367293793944693
1722,0.9367205654411298
1331,0.934854900933648
685,0.9342848013304741
1860,0.9341708123649701
353,0.9334012705731066
41,0.933160738884681
1974,0.9327188364136288
1804,0.9321405266399986
407,0.9304303666186472
585,0.9304122042410039
1743,0.9301272391677492
1097,0.9294840599044636
231,0.9293693184732434
1854,0.9290615812229446
18,0.928757746096646
1858,0.9285062434537562
344,0.9279481427947441
429,0.9276411543641516
516,0.9266899107858569
1754,0.9256471426551689
365,0.9252089408345642
1815,0.9251078267705929
133,0.9239091881412621
916,0.9238481927984791
1855,0.9217821616239701
515,0.9213053575389556
1706,0.9210271216332775
62,0.920919045825281
357,0.9207012248554798
1856,0.9203842225261923
848,0.9179161096180881
361,0.9177967345879529
1869,0.9169102743363448
754,0.9164971165991538
496,0.9159395918841403
1857,0.9145504163793913
1367,0.9136120958496586
1742,0.9135548290774276
929,0.9125339122208417
520,0.9112291230906298
671,0.9111131504684924
104,0.9107668098208712
230,0.9103107653724335
688,0.909840793117244
1503,0.9098294741860244
636,0.9094711551661611
718,0.9068113947505674
849,0.9065940746524651
1030,0.9065366633236082
1909,0.9055940640679219
1326,0.9050670514216382
664,0.9046323583733038
1557,0.9045028708295255
850,0.9039410081059065
517,0.90219870846186
215,0.9019371326294026
1911,0.9012923597729099
1563,0.901219253313858
1910,0.9011286919039219
64,0.9011252988473947
1717,0.9003436983399355
1421,0.9002811132045236
607,0.9002618030060012
137,0.8995300160944646
1902,0.899437636424453
283,0.8992759283337479
845,0.8991641535906834
318,0.8987949524074164
1479,0.8981954468585486
