IL ID,Cation,Anion,a,b,R^2
62,dbu-8,dca,-0.919599385147627,0.003660117418888406,0.9992975597394229
63,dbu-8,scn,-0.9608509848019836,0.003613758714994729,0.999514743944292
64,dbu,ac,-1.1171011954472743,0.0045597968434111565,0.9994255787301712
65,dbu,imidazolide,-1.4380535645255943,0.005977106956840556,0.9997902889771433
66,dbu,otf,-0.8591642836993449,0.003339224753122163,0.9997867655383638
67,dbu,so3-1,-1.0125576652624126,0.003738134387687231,0.9992516325235977
68,dbu,tfa,-1.01669061277358,0.0038700383344162656,0.9998909705979504
69,epslac,4ac,-1.4381637438605905,0.0060244561477334245,0.9996420761166676
70,epslac,ac,-1.4136455036657871,0.005964766689466325,0.9992529553116514
72,epslac,for,-1.2518034533563311,0.005494650505248399,0.9996671999630641
75,"guad-(1,1),(1,1),2",ntf2,-0.8532980259702236,0.0038499257513149856,0.999613791590016
76,"guad-(1,1),(1,1),2",so4-2,-0.9983876698281459,0.0038884973177319565,0.9999890791469427
77,"guad-(1,1),(1,1)",imidazolide,-1.0037873807283324,0.005213131879679318,0.8947132637619504
80,"guad-(2,1),(1,1),(1,1)",ntf2,-0.7938776330141624,0.003664541817124296,0.9990560618620896
81,"guad-(2,2),(1,1),(1,1)",ntf2,-0.7841193884213689,0.0036440841656946482,0.9992380981501839
82,"guad-(2,2),(1,1),(1,1)",so4-2,-0.9869953522917837,0.004072894907865619,0.9999876489342894
83,"guad-(2o1,2o1),(1,1),(1,1)",ntf2,-0.8929732671462781,0.003989426954195126,0.9986941510993562
84,"guad-(2o2,2o1),(1,1),(1,1)",ntf2,-0.8836554310109002,0.00397145995496213,0.9990644608244486
85,"guad-(3,1),(1,1),(1,1)",ntf2,-0.8720001958370345,0.003869173194016985,0.9992720073809848
86,"guad-(3,2),(1,1),(1,1)",ntf2,-0.842259486912124,0.003766362866008374,0.9992302124683387
87,"guad-(3,3),(1,1),(1,1)",ntf2,-0.9148892663111406,0.003919166091174446,0.9995976491140659
88,"guad-(4,1),(1,1),(1,1)",ntf2,-0.880327264169961,0.003859636463819146,0.9996158017319592
89,"guad-(4,2),(1,1),(1,1)",ntf2,-0.8709440586839069,0.003833381869675172,0.9995752924689936
90,"guad-(4,3),(1,1),(1,1)",ntf2,-0.838889118326981,0.0036576715242959707,0.9995320060112227
91,"guad-(4,4),(1,1),(1,1)",ntf2,-0.9359122483846639,0.0039551461945356685,0.9998301580342546
94,"guad-(6,6),(6,6),(1,1)",ntf2,-0.26933114050504064,0.0014857509131363826,0.8422306762728905
104,"im-1,1,1o2",ntf2,-0.8525636649210004,0.0038554871616561103,0.999646350543617
105,"im-1,1,1o3",ntf2,-0.9301433595280693,0.00408303949327076,0.9995820225286155
106,"im-1,1[2]",ntf2,-0.8628676580892753,0.003722887675021146,0.998517545045619
110,"im-1,1",dca,-0.7673989451316762,0.004056553661756087,0.9985313488647612
111,"im-1,1",ntf2,-0.6990698476128792,0.003469293474519361,0.9943198014658248
112,"im-1,1","po2-o1,o1",-0.49923525991907947,0.0022953678009644254,0.7320244421595352
113,"im-1,1",so4-1,-0.8135578943740037,0.0036555398135844565,0.9947343577904149
123,"im-10,10",ntf2,-0.8021119279682924,0.0033845992178801127,0.9896521757739718
125,"im-10,1",al(ohfip)4,-1.0381114987667455,0.004530554758917713,0.9999190349766693
126,"im-10,1",bf4,-0.5515683080285015,0.002401878893093382,0.4066024561159296
127,"im-10,1",cl,-0.7934238547883352,0.0027938715463276106,0.9971344582929221
131,"im-10,1",ntf2,-0.8427556219350358,0.003634484934327729,0.9900691844771826
133,"im-10,1",phen,-0.9694466698242445,0.0038575759156476595,0.9948827526898145
136,"im-10,1",so3-4[f],-0.8988531146007626,0.0035002312381516754,0.9997497709482374
137,"im-10,1",tcb,-0.9953172644390412,0.004203929661274457,0.9999277348424996
138,"im-11,1",ntf2,-0.8444416869674465,0.0036002297355994914,0.9998852644677132
