IL ID,Cation,Anion,a,b,R^2
77,"guad-(1,1),(1,1)",imidazolide,-1.0037873807283324,0.005213131879679318,0.8947132637619504
94,"guad-(6,6),(6,6),(1,1)",ntf2,-0.26933114050504064,0.0014857509131363826,0.8422306762728905
112,"im-1,1","po2-o1,o1",-0.49923525991907947,0.0022953678009644254,0.7320244421595352
126,"im-10,1",bf4,-0.5515683080285015,0.002401878893093382,0.4066024561159296
194,"im-1ph,1",dca,-0.9095848699902936,0.003938064383955298,0.9362955164540123
195,"im-1ph,1",ntf2,-0.9898226981302607,0.004113892644916967,0.9571647579218729
213,"im-2,1,1",ntf2,-0.5984272719438158,0.0028751337401989267,0.7757127422114574
252,"im-2,1",bf4,-0.6127233842631671,0.0031863821938099097,0.9082052295734384
257,"im-2,1",ccn3,-0.7191812714546618,0.003930547361831593,0.9503173940351172
261,"im-2,1",dca,-0.4673723623530934,0.0030236742803392298,0.76157250701769
268,"im-2,1",gly,-0.9934089106633979,0.004183080644858066,0.7681491969284362
285,"im-2,1",pro,-0.999612428797451,0.0038235384817299676,0.8785977264746428
288,"im-2,1",ser,-1.0165969014803629,0.003848655973812581,0.7472872554517374
351,"im-2cn,4",cl,-0.8784076156023667,0.0031764762492725446,0.7135604883578215
359,"im-2cn,6",sba,-0.9408800873327491,0.003319658982900753,0.9552526889253307
389,"im-2o1,1",bf4,-0.6698496660275373,0.0029497952745817725,0.9589194672484058
444,"im-2oh,1",bf4,-0.866029714998337,0.00363596403448454,0.5166076041298252
457,"im-3,1,1",ntf2,-0.6128119504024044,0.0028493112223759135,0.7934340720116093
485,"im-3cn,1",bf4,-0.7819467061036011,0.003241303717109653,0.9284924820763663
500,"im-3o1,1",bf4,-0.6698496660275373,0.0029497952745817725,0.9589194672484058
521,"im-4,1,1",bf4,-0.4596682666611248,0.0021363962886473903,0.7179861907279026
558,"im-4,1",cl,0.24572325559293876,0.0001080113307352489,0.0011552057525437975
570,"im-4,1",gly,0.349322415337041,-0.00030327197617843033,0.0034363802557051404
575,"im-4,1",hso4,-0.4749389299474249,0.002064034048450304,0.5762531517096999
579,"im-4,1",no3,-0.8978826241008309,0.0037593663416438756,0.9419825132977482
596,"im-4,1",so4-1,-0.9148359291247115,0.0037775242726553722,0.9010194443128187
606,"im-4,1",tfa,-0.9327102567428028,0.004058794962752585,0.9352345825701418
670,"im-6,1",bf4,-0.9242234496097068,0.003802968891242512,0.9428349403498779
672,"im-6,1",cl,-0.6511736233804205,0.0024229267298670294,0.8660611057822574
677,"im-6,1",fecl4,-0.7146740964702817,0.0034025606265196038,0.9502497065631248
720,"im-8,1",bf4,-0.7846573161162299,0.0032446092089730596,0.9414900678922866
721,"im-8,1",cl,-0.5838623344298038,0.002206267891164725,0.5635587440308908
724,"im-8,1",fecl4,-0.634454368344247,0.0029327578794269542,0.8403856852056374
732,"im-8,1",otf,-0.7328113866585327,0.003163660393794109,0.9285046300762404
779,"im-a,1",dca,-0.7998554041164008,0.004017408790198042,0.8705979130535403
824,"mo-2,1",so4-2,-0.7017922019284503,0.00258430038408944,0.9555448840484012
932,"n-2,2,2",hso4,-0.7680455663002496,0.003240482189560295,0.9359092447288139
943,"n-2,2",hso4,-0.9670473944518528,0.004443209995059315,0.8470996518021442
947,n-2,for,-1.3434509383559259,0.005954696640884934,0.8753724252600945
952,"n-2coo1,1,1,1",ntf2,-0.6935841574913627,0.0030510825516173244,0.9550208536434037
1016,"n-2oh,1,1,1",1ac,-0.9828482794192943,0.003731067796096841,0.6019369983983982
1053,"n-2oh,2oh,2oh",ac,-0.8487591781081306,0.003277154509610529,0.8858819940895071
1059,"n-2oh,2oh",ac,-0.8332750461907955,0.003255017752177189,0.6227173627241296
1075,n-2oh,ac,-0.8435491702911054,0.0033729777477992215,0.5742004477276383
1076,n-2oh,for,-0.851543188687758,0.003648856827892936,0.7027985557079944
1078,n-2oh,la,-1.331784369481102,0.005005179871756115,0.9393513923100475
1096,"n-3,3,3,3",oh,0.32123051149919085,0.000869069464369226,0.9547400315077874
1101,n-3,for,-0.4466142613426636,0.0025017281910417535,0.5175808831066733
1115,n-3oh,for,-0.656926879980736,0.0028319828902004323,0.9255891463477266
1129,"n-4,2,2,2",ac,-1.2009176622367201,0.004507542417312093,0.8939208180683949
1138,"n-4,4,4,4",behss,-0.2867802454495215,0.0012696455987815348,0.2586107030971445
1158,n-4,no3,-0.674446154289461,0.0031966847133335346,0.6566397188399282
1174,"n-6,1,1,1",ntf2,-0.5425306349791567,0.0022795475760152353,0.4369467032995836
1176,"n-6,2,2,2",ntf2,-0.921522809599305,0.003841370616733578,0.5871167824440938
1182,"n-6,6,6,6",ntf2,-2.4230083273404963,0.008676108669530832,0.0769230769038074
1186,"n-7,2,2,2",ntf2,-0.7905008318831321,0.0033958050890115386,0.9425684288517248
1313,"p-14,6,6,6",br,-0.6146022823588928,0.0024181153057234186,0.9394351833705884
1315,"p-14,6,6,6",cl,-0.9854203867333302,0.0036595645278817007,0.6723079449872131
1316,"p-14,6,6,6",cocl4,-0.07501762627452956,0.000374926323927055,0.8038704207328008
1319,"p-14,6,6,6",dca,-0.7092317297162917,0.0029746268820816735,0.9069404429489958
1427,"p-4,4,4,1",so4-1,-0.8025225026482926,0.0031247912418932615,0.8631520255722799
1552,"pip-4,1",ntf2,-0.9005546671873024,0.0037570355916405032,0.9277478554705911
1570,"pip-[2o]21,1",ntf2,-0.8974715354662228,0.003960049081884991,0.9373562795780168
1591,py-1,so4-1,-0.7609500478019109,0.0033943583620996065,0.9569367665659814
