"ID","Label"
"136","im-10,1 + so3-4[f]"
"137","im-10,1 + tcb"
"138","im-11,1 + ntf2"
"139","im-12,12 + ntf2"
"140","im-12,1 + ntf2"
"141","im-12,1 + so3-4[f]"
"142","im-14,1 + ntf2"
"143","im-16,1 + ntf2"
"144","im-18,1 + fpi"
"145","im-1 + ac"
"146","im-1 + hso4"
"147","im-1 + npf2"
"148","im-1 + ntf2"
"149","im-1cch,1 + bf3-3icn"
"150","im-1cch,1 + ntf2"
"151","im-1cch,1cch + bf3-3icn"
"152","im-1ch,1 + ntf2"
"153","im-1cn,1 + ntf2"
"154","im-1conh4,2 + ntf2"
"155","im-1coo2,1 + ntf2"
"156","im-1coo2,1 + scn"
"157","im-1cooh,1 + bf4"
"158","im-1cooh,1 + pf6"
"159","im-1cp,1 + ntf2"
"160","im-1dmsodmsph,1 + ntf2"
"161","im-1dmsodphs1,1 + ntf2"
"162","im-1dmsotms,1 + ntf2"
"163","im-1dmsph,1 + ntf2"
"164","im-1o1,1,1 + ntf2"
"165","im-1o1,1,2 + ntf2"
"166","im-1o1,1 + bf3-1[f]"
"167","im-1o1,1 + bf3-2[f]"
"168","im-1o1,1 + ntf2"
"169","im-1o1,2,2 + ntf2"
"170","im-1o1,2 + ntf2"
"171","im-1o1,3,1 + ntf2"
"172","im-1o1,3,2 + ntf2"
"173","im-1o1,3 + ntf2"
"174","im-1o1,4,1 + ntf2"
"175","im-1o1,4,2 + ntf2"
"176","im-1o1,4 + ntf2"
"177","im-1o2,1 + ntf2"
"178","im-1o2,2 + ntf2"
"179","im-1o2,3 + ntf2"
"180","im-1o2,4 + ntf2"
"181","im-1o3,1o3 + bf4"
"182","im-1o3,1o3 + ntf2"
"183","im-1o4,1o4 + bf4"
"184","im-1o4,1o4 + ntf2"
"185","im-1o5,1o5 + bf4"
"186","im-1o5,1o5 + ntf2"
"187","im-1o6,1o6 + ntf2"
"188","im-1o7,1o7 + ntf2"
"189","im-1o8,1o8 + ntf2"
"190","im-1ph,1[2] + npf2"
"191","im-1ph,1[2] + ntf2"
"192","im-1ph,1 + alcl4"
"193","im-1ph,1 + cl"
"194","im-1ph,1 + dca"
"195","im-1ph,1 + ntf2"
"196","im-1ph,1 + sac"
"197","im-1ph,1 + so4-1"
"198","im-1ph,1ph + dca"
