IL ID,Label,Viscosity Group,Temp
106,"im-1,1[2] + ntf2",L,303.15
107,"im-1,1 + bf3-1[f]",L,298.2
108,"im-1,1 + bf3-2[f]",L,298.2
109,"im-1,1 + bf3-3[f]",L,298.2
110,"im-1,1 + dca",L,298.1
111,"im-1,1 + ntf2",L,298.0
112,"im-1,1 + po2-o1,o1",H,293.0
113,"im-1,1 + so4-1",L,293.15
114,"im-1,s2[2] + ntf2",L,298.15
115,"im-1,s2[2] + otf",L,298.15
116,"im-1,s2[2] + pf6",H,298.15
117,"im-1,s4[2] + ntf2",L,298.15
118,"im-1,s4[2] + otf",L,298.15
119,"im-1,s4[2] + po2-o4,o4",L,298.15
120,"im-10,1,1 + ntf2",L,298.2
121,"im-10,10 + ac",H,298.0
122,"im-10,10 + no3",H,298.0
123,"im-10,10 + ntf2",H,298.15
124,"im-10,10 + po2-o8i,o8i",H,298.0
125,"im-10,1 + al(ohfip)4",L,298.2
126,"im-10,1 + bf4",H,298.0
127,"im-10,1 + cl",H,313.15
128,"im-10,1 + dca",L,293.0
129,"im-10,1 + fpi",H,293.0
130,"im-10,1 + npf2",H,293.2
131,"im-10,1 + ntf2",H,296.0
132,"im-10,1 + otf",L,293.0
133,"im-10,1 + phen",H,293.15
134,"im-10,1 + sac",H,293.0
135,"im-10,1 + scn",H,298.2
136,"im-10,1 + so3-4[f]",H,298.15
137,"im-10,1 + tcb",H,283.15
138,"im-11,1 + ntf2",H,278.15
139,"im-12,12 + ntf2",L,323.15
140,"im-12,1 + ntf2",H,283.0
141,"im-12,1 + so3-4[f]",H,308.15
142,"im-14,1 + ntf2",L,323.15
143,"im-16,1 + ntf2",L,323.15
144,"im-18,1 + fpi",H,293.0
145,im-1 + ac,L,293.15
146,im-1 + hso4,H,293.15
147,im-1 + npf2,H,298.2
148,im-1 + ntf2,L,298.2
149,"im-1cch,1 + bf3-3icn",L,303.2
150,"im-1cch,1 + ntf2",L,298.15
151,"im-1cch,1cch + bf3-3icn",H,303.2
152,"im-1ch,1 + ntf2",H,298.15
153,"im-1cn,1 + ntf2",H,283.15
154,"im-1conh4,2 + ntf2",H,298.15
155,"im-1coo2,1 + ntf2",L,298.2
156,"im-1coo2,1 + scn",H,298.2
157,"im-1cooh,1 + bf4",L,298.0
158,"im-1cooh,1 + pf6",L,298.0
159,"im-1cp,1 + ntf2",L,298.15
160,"im-1dmsodmsph,1 + ntf2",L,298.0
161,"im-1dmsodphs1,1 + ntf2",H,298.0
162,"im-1dmsotms,1 + ntf2",H,278.15
163,"im-1dmsph,1 + ntf2",H,278.15
164,"im-1o1,1,1 + ntf2",L,298.15
165,"im-1o1,1,2 + ntf2",L,298.15
166,"im-1o1,1 + bf3-1[f]",L,298.2
167,"im-1o1,1 + bf3-2[f]",L,298.2
168,"im-1o1,1 + ntf2",L,298.15
169,"im-1o1,2,2 + ntf2",L,298.15
170,"im-1o1,2 + ntf2",L,298.15
171,"im-1o1,3,1 + ntf2",L,298.15
172,"im-1o1,3,2 + ntf2",L,298.15
173,"im-1o1,3 + ntf2",L,298.15
174,"im-1o1,4,1 + ntf2",L,298.15
175,"im-1o1,4,2 + ntf2",L,298.15
