iter	Passed	Remaining
0	142	141933
1	143	71846
2	145	48497
3	147	36837
4	149	29808
5	151	25171
6	154	21855
7	156	19344
8	158	17398
9	160	15853
10	162	14588
11	164	13537
12	166	12631
13	168	11876
14	170	11216
15	172	10630
16	175	10121
17	176	9651
18	178	9237
19	181	8871
20	183	8535
21	185	8228
22	187	7956
23	189	7700
24	191	7461
25	193	7261
26	195	7061
27	197	6867
28	199	6684
29	217	7026
30	219	6855
31	221	6691
32	223	6536
33	224	6387
34	226	6246
35	228	6124
36	230	6000
37	232	5880
38	233	5765
39	235	5662
40	237	5563
41	239	5464
42	241	5375
43	243	5289
44	245	5202
45	246	5122
46	248	5047
47	250	4970
48	252	4898
49	254	4829
50	256	4765
51	257	4700
52	259	4635
53	261	4577
54	263	4521
55	264	4466
56	266	4412
57	268	4366
58	270	4319
59	272	4270
60	274	4222
61	276	4176
62	277	4131
63	279	4087
64	281	4049
65	283	4015
66	285	3975
67	287	3936
68	289	3899
69	290	3862
70	292	3826
71	294	3793
72	296	3760
73	297	3727
74	299	3694
75	301	3663
76	302	3631
77	304	3600
78	306	3570
79	308	3543
80	309	3515
81	311	3488
82	313	3461
83	315	3438
84	317	3412
85	318	3387
86	320	3363
87	322	3340
88	324	3317
89	325	3293
90	327	3272
91	329	3250
92	331	3228
93	332	3206
94	334	3185
95	336	3165
96	338	3148
97	339	3129
98	341	3111
99	343	3091
100	345	3073
101	347	3055
102	348	3036
103	350	3019
104	352	3001
105	354	2985
106	356	2972
107	358	2956
108	359	2940
109	361	2924
110	363	2908
111	364	2893
112	366	2877
113	368	2863
114	370	2849
115	371	2834
116	373	2820
117	375	2808
118	377	2794
119	379	2779
120	380	2766
121	382	2752
122	384	2739
123	385	2726
124	387	2714
125	389	2701
126	391	2688
127	392	2676
128	394	2663
129	396	2651
130	398	2642
131	400	2630
132	402	2620
133	403	2609
134	405	2597
135	407	2586
136	408	2576
137	410	2565
138	412	2554
139	414	2543
140	415	2533
141	416	2518
142	418	2508
143	420	2498
144	421	2488
145	423	2479
146	425	2469
147	427	2460
148	429	2451
149	430	2440
150	432	2431
151	434	2421
152	435	2412
153	437	2403
154	439	2394
155	440	2385
156	442	2376
157	444	2368
158	446	2359
159	447	2351
160	449	2343
161	451	2334
162	453	2326
163	454	2317
164	456	2308
165	457	2300
166	459	2293
167	461	2285
168	463	2278
169	465	2272
170	467	2266
171	469	2259
172	470	2251
173	472	2243
174	474	2236
175	476	2229
176	477	2221
177	479	2214
178	481	2207
179	482	2200
180	484	2192
181	486	2185
182	487	2178
183	489	2171
184	491	2164
185	493	2157
186	494	2151
187	496	2144
188	498	2137
189	499	2130
190	501	2123
191	503	2116
192	504	2109
193	506	2103
194	507	2096
195	509	2090
196	511	2083
197	512	2077
198	514	2071
199	516	2065
200	518	2059
201	519	2052
202	521	2047
203	523	2042
204	525	2036
205	527	2031
206	529	2027
207	530	2021
208	532	2016
209	534	2010
210	536	2004
211	537	1999
212	539	1993
213	541	1988
214	542	1982
215	544	1976
216	546	1970
217	547	1964
218	549	1959
219	551	1954
220	552	1948
221	554	1943
222	556	1938
223	558	1933
224	559	1927
225	561	1922
226	563	1917
227	564	1912
228	566	1906
229	568	1901
230	569	1896
231	571	1891
232	573	1886
233	574	1881
234	576	1876
235	578	1871
236	579	1866
237	581	1861
238	583	1856
239	584	1851
240	586	1847
241	587	1841
242	589	1836
243	591	1831
244	592	1826
245	594	1821
246	596	1817
247	597	1812
248	599	1808
249	601	1803
250	602	1799
251	604	1794
252	606	1790
253	607	1785
254	609	1780
255	611	1776
256	613	1772
257	614	1768
258	616	1764
259	618	1760
260	620	1756
261	621	1751
262	623	1747
263	625	1743
264	627	1739
265	629	1735
266	630	1731
267	632	1726
268	633	1722
269	635	1718
270	637	1714
271	638	1709
272	640	1705
273	642	1701
274	644	1697
275	646	1694
276	647	1691
277	649	1687
278	651	1683
279	653	1679
280	654	1675
281	656	1671
282	658	1667
283	659	1663
284	661	1660
285	663	1656
286	665	1652
287	666	1648
288	668	1645
289	670	1641
290	672	1638
291	674	1634
292	676	1631
293	677	1627
294	679	1624
295	681	1620
296	682	1616
297	684	1612
298	686	1609
299	688	1605
300	689	1602
301	691	1598
302	693	1594
303	695	1592
304	697	1588
305	698	1584
306	700	1580
307	702	1577
308	703	1574
309	705	1570
310	707	1567
311	709	1563
312	710	1560
313	712	1556
314	714	1553
315	715	1549
316	717	1545
317	719	1542
318	721	1539
319	722	1535
320	724	1532
321	726	1528
322	727	1525
323	729	1521
324	731	1518
325	732	1515
326	734	1511
327	736	1508
328	738	1505
329	740	1502
330	742	1499
331	743	1496
332	745	1492
333	746	1489
334	748	1486
335	750	1482
336	752	1479
337	753	1476
338	755	1472
339	757	1469
340	758	1466
341	760	1462
342	762	1459
343	763	1456
344	765	1453
345	767	1449
346	768	1446
347	770	1443
348	772	1440
349	773	1436
350	775	1433
351	777	1430
352	778	1427
353	780	1424
354	782	1421
355	783	1418
356	785	1414
357	787	1411
358	788	1408
359	790	1405
360	792	1402
361	793	1399
362	795	1396
363	797	1393
364	799	1390
365	800	1387
366	802	1384
367	804	1381
368	806	1378
369	807	1375
370	809	1372
371	811	1369
372	813	1366
373	814	1363
374	816	1360
375	818	1357
376	819	1354
377	821	1351
378	823	1348
379	824	1345
380	826	1342
381	828	1339
382	829	1336
383	831	1334
384	833	1331
385	835	1328
386	836	1325
387	838	1322
388	840	1319
389	841	1316
390	843	1313
391	845	1311
392	847	1308
393	849	1306
394	850	1303
395	852	1300
396	854	1297
397	856	1295
398	857	1292
399	859	1289
400	861	1286
401	862	1283
402	864	1280
403	866	1277
404	867	1274
405	869	1272
406	871	1269
407	872	1266
408	874	1263
409	876	1261
410	878	1258
411	879	1255
412	881	1252
413	883	1249
414	884	1247
415	886	1244
416	888	1241
417	889	1238
418	891	1236
419	893	1233
420	894	1230
421	896	1228
422	898	1225
423	899	1222
424	901	1220
425	903	1217
426	905	1215
427	907	1212
428	908	1209
429	910	1207
430	912	1204
431	913	1201
432	915	1198
433	917	1196
434	918	1193
435	920	1190
436	922	1188
437	923	1185
438	925	1182
439	927	1180
440	928	1177
441	930	1175
442	932	1172
