iter	RMSE
0	1.390573164
1	1.376606569
2	1.363822994
3	1.3504151
4	1.335772649
5	1.322168637
6	1.307047172
7	1.294479859
8	1.280707549
9	1.269477437
10	1.25916539
11	1.247938376
12	1.236631493
13	1.226504616
14	1.214924131
15	1.205507958
16	1.197531605
17	1.190267137
18	1.179227167
19	1.171829342
20	1.163959549
21	1.155515826
22	1.147341377
23	1.139121135
24	1.13170959
25	1.122633694
26	1.11714336
27	1.107872346
28	1.101231075
29	1.094014459
30	1.087816463
31	1.078944431
32	1.073465524
33	1.06752028
34	1.062117999
35	1.056592926
36	1.050278501
37	1.042425515
38	1.03771457
39	1.03327015
40	1.027785533
41	1.022558643
42	1.015405141
43	1.010661293
44	1.004834157
45	1.000251203
46	0.9962040558
47	0.9933062966
48	0.9883072109
49	0.9824009735
50	0.9785785741
51	0.9757580127
52	0.9708227841
53	0.9666978297
54	0.9615308262
55	0.9585444633
56	0.9542542203
57	0.9502974648
58	0.9467551715
59	0.9429415521
60	0.9386591462
61	0.9340101325
62	0.931014251
63	0.9278840119
64	0.9234552542
65	0.9193141252
66	0.915623622
67	0.9126489286
68	0.9090952559
69	0.9058993009
70	0.9033398057
71	0.9012604324
72	0.8986898838
73	0.8946782511
74	0.890534097
75	0.8876346958
76	0.8848609068
77	0.8828272154
78	0.8804491821
79	0.87793591
80	0.8748873541
81	0.871411027
82	0.8682010417
83	0.8656844761
84	0.8608841705
85	0.8578324781
86	0.8553171783
87	0.8531421301
88	0.8488955072
89	0.8472232969
90	0.8440388519
91	0.8417660827
92	0.83984818
93	0.8378296584
94	0.8352152484
95	0.8327312896
96	0.8301570099
97	0.8276530329
98	0.8254919725
99	0.8237811516
100	0.8212908603
101	0.8190425513
102	0.8166303843
103	0.8149035945
104	0.8127107241
105	0.8105578367
106	0.8090429691
107	0.8066711667
108	0.8049637891
109	0.8034284514
110	0.8018308446
111	0.7996769055
112	0.797051592
113	0.7944913626
114	0.7927100961
115	0.7905462907
116	0.7883496835
117	0.7865358087
118	0.7846376324
119	0.7834106429
120	0.7818451183
121	0.7799933428
122	0.7781543661
123	0.7758555925
124	0.774203547
125	0.7719267904
126	0.7698116115
127	0.7682384936
128	0.7660775981
129	0.7630889957
130	0.7609038492
131	0.7592351776
132	0.7574109524
133	0.7559021572
134	0.753920472
135	0.7522809976
136	0.7508831398
137	0.7495522512
138	0.748025588
139	0.7459844381
140	0.7447054772
141	0.7429938673
142	0.7412319366
143	0.7399551348
144	0.7386314865
145	0.7380747436
146	0.7366497862
147	0.7349299568
148	0.73322474
149	0.7321362604
150	0.7310545506
151	0.7295519868
152	0.728502371
153	0.7270503587
154	0.7244398421
155	0.7228111747
156	0.7210651063
157	0.7199315228
158	0.7188884235
159	0.7178126231
160	0.7163019076
161	0.7147331255
162	0.7139217332
163	0.7127587489
164	0.7111305466
165	0.7098041091
166	0.7085392083
167	0.7074246926
168	0.7059710998
169	0.704737772
170	0.702570034
171	0.7013934503
172	0.7002853831
173	0.6985955086
174	0.6974532808
175	0.6960400229
176	0.6943351897
177	0.6928803874
178	0.6918856853
179	0.6902046844
180	0.6887713082
181	0.6875684789
182	0.6865352585
183	0.685174473
184	0.6839225301
185	0.6826285214
186	0.6817564745
187	0.6804502922
188	0.6795005768
189	0.6782471162
190	0.6771953461
