ID,Label
106,"cation: guad-(6,6),(6,6),(1,1) + anion: otf"
107,"cation: guad-(6,6),(6,6),(1,1) + anion: sac"
108,"cation: guad-(6,6),(6,6),(1,1) + anion: so3-ph1"
109,"cation: guad-(6,6),(6,6),(1,1) + anion: tfa"
110,"cation: im-1(1[f]),1 + anion: ntf2"
111,"cation: im-1(chbr,ch2br),(chbr,ch2br) + anion: ntf2"
112,"cation: im-1(chbr,ch2br),1(chbr,ch2br) + anion: ntf2"
113,"cation: im-1(chbr,ch2br),1,br[4],br[5] + anion: ntf2"
114,"cation: im-1(chbr,ch2br),1 + anion: ntf2"
115,"cation: im-1,1,1o2 + anion: ntf2"
116,"cation: im-1,1,1o2 + anion: ntf2"
117,"cation: im-1,1,1o3 + anion: ntf2"
118,"cation: im-1,1,1o3 + anion: ntf2"
119,"cation: im-1,1[2] + anion: ntf2"
120,"cation: im-1,1[2] + anion: ntf2"
121,"cation: im-1,1 + anion: bf3-1[f]"
122,"cation: im-1,1 + anion: bf3-2[f]"
123,"cation: im-1,1 + anion: bf3-3[f]"
124,"cation: im-1,1 + anion: dca"
125,"cation: im-1,1 + anion: ntf2"
126,"cation: im-1,1 + anion: ntf2"
127,"cation: im-1,1 + anion: ntf2"
128,"cation: im-1,1 + anion: ntf2"
129,"cation: im-1,1 + anion: po2-o1,o1"
130,"cation: im-1,1 + anion: po2-o1,o1"
131,"cation: im-1,1 + anion: po2-o1,o1"
132,"cation: im-1,1 + anion: so4-1"
133,"cation: im-1,1 + anion: so4-1"
134,"cation: im-1,1 + anion: so4-1"
135,"cation: im-1,1 + anion: so4-1"
136,"cation: im-1,s2[2] + anion: ntf2"
137,"cation: im-1,s2[2] + anion: otf"
138,"cation: im-1,s2[2] + anion: pf6"
139,"cation: im-1,s4[2] + anion: ntf2"
140,"cation: im-1,s4[2] + anion: otf"
141,"cation: im-1,s4[2] + anion: po2-o4,o4"
142,"cation: im-10,1,1 + anion: ntf2"
143,"cation: im-10,10 + anion: ac"
144,"cation: im-10,10 + anion: no3"
145,"cation: im-10,10 + anion: ntf2"
146,"cation: im-10,10 + anion: ntf2"
147,"cation: im-10,10 + anion: po2-o8i,o8i"
148,"cation: im-10,1 + anion: al(ohfip)4"
149,"cation: im-10,1 + anion: bf4"
150,"cation: im-10,1 + anion: bf4"
151,"cation: im-10,1 + anion: cl"
152,"cation: im-10,1 + anion: cl"
153,"cation: im-10,1 + anion: dca"
154,"cation: im-10,1 + anion: fpi"
155,"cation: im-10,1 + anion: npf2"
156,"cation: im-10,1 + anion: ntf2"
157,"cation: im-10,1 + anion: ntf2"
158,"cation: im-10,1 + anion: ntf2"
159,"cation: im-10,1 + anion: ntf2"
160,"cation: im-10,1 + anion: ntf2"
161,"cation: im-10,1 + anion: ntf2"
162,"cation: im-10,1 + anion: ntf2"
163,"cation: im-10,1 + anion: ntf2"
164,"cation: im-10,1 + anion: ntf2"
165,"cation: im-10,1 + anion: ntf2"
166,"cation: im-10,1 + anion: ntf2"
167,"cation: im-10,1 + anion: ntf2"
168,"cation: im-10,1 + anion: otf"
169,"cation: im-10,1 + anion: phen"
170,"cation: im-10,1 + anion: sac"
171,"cation: im-10,1 + anion: scn"
172,"cation: im-10,1 + anion: so3-4[f]"
173,"cation: im-10,1 + anion: tcb"
174,"cation: im-11,1 + anion: ntf2"
175,"cation: im-12,12 + anion: ntf2"
176,"cation: im-12,1 + anion: ntf2"
177,"cation: im-12,1 + anion: ntf2"
178,"cation: im-12,1 + anion: ntf2"
179,"cation: im-12,1 + anion: so3-4[f]"
180,"cation: im-14,1 + anion: ntf2"
181,"cation: im-14,1 + anion: ntf2"
182,"cation: im-14,1 + anion: ntf2"
183,"cation: im-16,1 + anion: ntf2"
184,"cation: im-18,1 + anion: fpi"
185,cation: im-1 + anion: ac
186,cation: im-1 + anion: hso4
187,cation: im-1 + anion: hso4
188,cation: im-1 + anion: hso4
189,cation: im-1 + anion: npf2
190,cation: im-1 + anion: ntf2
191,cation: im-1 + anion: ntf2
192,"cation: im-1cch,1 + anion: bf3-3icn"
193,"cation: im-1cch,1 + anion: ntf2"
194,"cation: im-1cch,1cch + anion: bf3-3icn"
195,"cation: im-1ch,1 + anion: ntf2"
196,"cation: im-1ch,1 + anion: ntf2"
197,"cation: im-1cn,1 + anion: ntf2"
198,"cation: im-1conh4,2 + anion: ntf2"
199,"cation: im-1coo2,1 + anion: ntf2"
200,"cation: im-1coo2,1 + anion: scn"
201,"cation: im-1cooh,1 + anion: bf4"
202,"cation: im-1cooh,1 + anion: pf6"
203,"cation: im-1cp,1 + anion: ntf2"
204,"cation: im-1dmsodmsph,1 + anion: ntf2"
205,"cation: im-1dmsodphs1,1 + anion: ntf2"
206,"cation: im-1dmsotms,1 + anion: ntf2"
207,"cation: im-1dmsph,1 + anion: ntf2"
208,"cation: im-1o1,1,1 + anion: ntf2"
209,"cation: im-1o1,1,2 + anion: ntf2"
210,"cation: im-1o1,1 + anion: bf3-1[f]"
211,"cation: im-1o1,1 + anion: bf3-2[f]"
212,"cation: im-1o1,1 + anion: ntf2"
213,"cation: im-1o1,2,2 + anion: ntf2"
214,"cation: im-1o1,2 + anion: ntf2"
215,"cation: im-1o1,3,1 + anion: ntf2"
216,"cation: im-1o1,3,2 + anion: ntf2"
217,"cation: im-1o1,3 + anion: ntf2"
218,"cation: im-1o1,4,1 + anion: ntf2"
219,"cation: im-1o1,4,2 + anion: ntf2"
220,"cation: im-1o1,4 + anion: ntf2"
221,"cation: im-1o2,1 + anion: ntf2"
222,"cation: im-1o2,2 + anion: ntf2"
223,"cation: im-1o2,3 + anion: ntf2"
224,"cation: im-1o2,4 + anion: ntf2"
225,"cation: im-1o3,1o3 + anion: bf4"
226,"cation: im-1o3,1o3 + anion: ntf2"
227,"cation: im-1o4,1o4 + anion: bf4"
228,"cation: im-1o4,1o4 + anion: ntf2"
229,"cation: im-1o5,1o5 + anion: bf4"
230,"cation: im-1o5,1o5 + anion: ntf2"
231,"cation: im-1o6,1o6 + anion: ntf2"
232,"cation: im-1o7,1o7 + anion: ntf2"
233,"cation: im-1o8,1o8 + anion: ntf2"
234,"cation: im-1ph,1[2] + anion: npf2"
235,"cation: im-1ph,1[2] + anion: ntf2"
236,"cation: im-1ph,1 + anion: alcl4"
237,"cation: im-1ph,1 + anion: cl"
238,"cation: im-1ph,1 + anion: dca"
239,"cation: im-1ph,1 + anion: dca"
240,"cation: im-1ph,1 + anion: dca"
241,"cation: im-1ph,1 + anion: ntf2"
242,"cation: im-1ph,1 + anion: ntf2"
243,"cation: im-1ph,1 + anion: ntf2"
244,"cation: im-1ph,1 + anion: ntf2"
245,"cation: im-1ph,1 + anion: ntf2"
246,"cation: im-1ph,1 + anion: ntf2"
247,"cation: im-1ph,1 + anion: sac"
248,"cation: im-1ph,1 + anion: so4-1"
249,"cation: im-1ph,1ph + anion: dca"
250,"cation: im-1ph,1ph + anion: scn"
251,"cation: im-1tms,1,1 + anion: ntf2"
252,"cation: im-1tms,1,1o4 + anion: ntf2"
253,"cation: im-1tms,1 + anion: ntf2"
254,"cation: im-2(2[f]),1 + anion: ntf2"
255,"cation: im-2(4[f]),1 + anion: ntf2"
256,"cation: im-2(6[f]),1 + anion: ntf2"
257,"cation: im-2(6[f]),1 + anion: ntf2"
258,"cation: im-2(cfbr,cf2br),1(chbr,ch2br) + anion: ntf2"
259,"cation: im-2(cfbr,cf2br),1 + anion: ntf2"
260,"cation: im-2,1,1[5] + anion: ntf2"
261,"cation: im-2,1,1[5] + anion: ntf2"
262,"cation: im-2,1,1[5] + anion: otf"
263,"cation: im-2,1,1 + anion: al(ohfip)4"
264,"cation: im-2,1,1 + anion: h2po4"
265,"cation: im-2,1,1 + anion: hso4"
266,"cation: im-2,1,1 + anion: ntf2"
267,"cation: im-2,1,1 + anion: ntf2"
268,"cation: im-2,1,1 + anion: ntf2"
269,"cation: im-2,1,1 + anion: ntf2"
270,"cation: im-2,1,1 + anion: ntf2"
271,"cation: im-2,1,1 + anion: ntf2"
272,"cation: im-2,1,1 + anion: ph-coo[1],oh[2]"
273,"cation: im-2,1,1o2 + anion: ntf2"
274,"cation: im-2,1,1o2 + anion: ntf2"
275,"cation: im-2,1,1o3 + anion: ntf2"
276,"cation: im-2,1,1o3 + anion: ntf2"
277,"cation: im-2,1,s1 + anion: ntf2"
278,"cation: im-2,1,s3 + anion: ntf2"
279,"cation: im-2,1,s3i + anion: ntf2"
280,"cation: im-2,1,s8 + anion: ntf2"
281,"cation: im-2,1D + anion: fap"
282,"cation: im-2,1D + anion: so4-1D"
283,"cation: im-2,1D + anion: tcb"
284,"cation: im-2,1[2] + anion: bf4"
285,"cation: im-2,1[2] + anion: npf2"
286,"cation: im-2,1[2] + anion: ntf2"
287,"cation: im-2,1 + anion: ac"
288,"cation: im-2,1 + anion: ac"
289,"cation: im-2,1 + anion: ac"
290,"cation: im-2,1 + anion: ac"
291,"cation: im-2,1 + anion: ac"
292,"cation: im-2,1 + anion: ac"
293,"cation: im-2,1 + anion: ac"
294,"cation: im-2,1 + anion: ac"
295,"cation: im-2,1 + anion: ac"
296,"cation: im-2,1 + anion: ac"
297,"cation: im-2,1 + anion: al(ohfip)4"
298,"cation: im-2,1 + anion: al2cl7"
299,"cation: im-2,1 + anion: ala"
300,"cation: im-2,1 + anion: ala"
301,"cation: im-2,1 + anion: alcl4"
302,"cation: im-2,1 + anion: alcl4"
303,"cation: im-2,1 + anion: bcn3-1[f]"
304,"cation: im-2,1 + anion: bcn3-2[f]"
305,"cation: im-2,1 + anion: bf2cn-1[f]"
306,"cation: im-2,1 + anion: bf2cn-2[f]"
307,"cation: im-2,1 + anion: bf2cn-3[f]"
308,"cation: im-2,1 + anion: bf2cn-4[f]"
309,"cation: im-2,1 + anion: bf2cn2"
310,"cation: im-2,1 + anion: bf2ox"
311,"cation: im-2,1 + anion: bf3-1"
312,"cation: im-2,1 + anion: bf3-1[f]"
313,"cation: im-2,1 + anion: bf3-1[f]"
314,"cation: im-2,1 + anion: bf3-2"
315,"cation: im-2,1 + anion: bf3-2[f]"
316,"cation: im-2,1 + anion: bf3-2[f]"
317,"cation: im-2,1 + anion: bf3-2[f]o1[f]"
318,"cation: im-2,1 + anion: bf3-3"
319,"cation: im-2,1 + anion: bf3-3[f]"
320,"cation: im-2,1 + anion: bf3-4"
321,"cation: im-2,1 + anion: bf3-4[f]"
322,"cation: im-2,1 + anion: bf3-5"
323,"cation: im-2,1 + anion: bf3-v"
324,"cation: im-2,1 + anion: bf3cn"
325,"cation: im-2,1 + anion: bf4"
326,"cation: im-2,1 + anion: bf4"
327,"cation: im-2,1 + anion: bf4"
328,"cation: im-2,1 + anion: bf4"
329,"cation: im-2,1 + anion: bf4"
330,"cation: im-2,1 + anion: bf4"
331,"cation: im-2,1 + anion: bf4"
332,"cation: im-2,1 + anion: bf4"
333,"cation: im-2,1 + anion: bf4"
334,"cation: im-2,1 + anion: bf4"
335,"cation: im-2,1 + anion: bf4"
336,"cation: im-2,1 + anion: bf4"
337,"cation: im-2,1 + anion: bf4"
338,"cation: im-2,1 + anion: bf4"
339,"cation: im-2,1 + anion: bf4"
340,"cation: im-2,1 + anion: bf4"
341,"cation: im-2,1 + anion: bf4"
342,"cation: im-2,1 + anion: bf4"
343,"cation: im-2,1 + anion: bfcn2-1[f]"
344,"cation: im-2,1 + anion: bfcn2-2[f]"
345,"cation: im-2,1 + anion: bfcn3"
346,"cation: im-2,1 + anion: c1c2"
347,"cation: im-2,1 + anion: ccn3"
348,"cation: im-2,1 + anion: ccn3"
349,"cation: im-2,1 + anion: ccn3"
350,"cation: im-2,1 + anion: ccn3"
351,"cation: im-2,1 + anion: ccn3"
352,"cation: im-2,1 + anion: ccn3"
353,"cation: im-2,1 + anion: ccn3"
354,"cation: im-2,1 + anion: ccn3"
355,"cation: im-2,1 + anion: cl"
356,"cation: im-2,1 + anion: conco4"
357,"cation: im-2,1 + anion: coscn4"
358,"cation: im-2,1 + anion: dca"
359,"cation: im-2,1 + anion: dca"
360,"cation: im-2,1 + anion: dca"
361,"cation: im-2,1 + anion: dca"
362,"cation: im-2,1 + anion: dca"
363,"cation: im-2,1 + anion: dca"
364,"cation: im-2,1 + anion: dca"
365,"cation: im-2,1 + anion: dca"
366,"cation: im-2,1 + anion: dca"
367,"cation: im-2,1 + anion: dca"
368,"cation: im-2,1 + anion: dca"
369,"cation: im-2,1 + anion: dca"
370,"cation: im-2,1 + anion: dca"
371,"cation: im-2,1 + anion: dca"
372,"cation: im-2,1 + anion: fap"
373,"cation: im-2,1 + anion: fap"
374,"cation: im-2,1 + anion: fap"
375,"cation: im-2,1 + anion: fap"
376,"cation: im-2,1 + anion: fecl4"
377,"cation: im-2,1 + anion: fecl4"
378,"cation: im-2,1 + anion: fpi"
379,"cation: im-2,1 + anion: fsa"
380,"cation: im-2,1 + anion: fsa"
381,"cation: im-2,1 + anion: fsa"
382,"cation: im-2,1 + anion: fsa"
383,"cation: im-2,1 + anion: fso3"
384,"cation: im-2,1 + anion: gacl4"
385,"cation: im-2,1 + anion: gly"
